fname,true_pairwise_het,true_num_seg,true_pi_w,true_pi_b,true_pi_t,true_hudson_fst,true_nei_fst,pool_size,read_depth,seq_error,num_sites
10_10_0.0_3_const_2_pop_t_div_1.0.txt,,,0.0018462437770806672,0.0027183987393392807,0.0022823212582099794,0.3208340813425314,0.19106752809695468,10.0,10.0,0.0,1000000.0
10_10_0.0_4_stat_1_pop_alpha_0.1.txt,0.10418445849156562,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_4_stat_1_pop_alpha_0.17500000000000002.txt,0.15486189909494277,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_4_stat_1_pop_alpha_0.25.txt,0.19022610431315778,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_4_stat_1_pop_alpha_0.32500000000000007.txt,0.21587593277769476,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_4_stat_1_pop_alpha_0.4.txt,0.23378013011149046,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_4_stat_2_pop_beta_0.1.txt,,,0.059215655807870526,0.09983464065878513,0.07952514823332779,0.40686263388017974,0.2553845277454744,10.0,10.0,0.0,1000.0
10_10_0.0_4_stat_2_pop_beta_0.325.txt,,,0.07649720954412335,0.1062252172790667,0.091361213411595,0.27985829068105567,0.16269490424242988,10.0,10.0,0.0,1000.0
10_10_0.0_4_stat_2_pop_beta_0.55.txt,,,0.08292323537613318,0.11201239620398717,0.09746781579006013,0.2596959070037156,0.14922444189428755,10.0,10.0,0.0,1000.0
10_10_0.0_4_stat_2_pop_beta_0.775.txt,,,0.08598442956804847,0.10509733118349093,0.09554088037576969,0.18185905769646019,0.10002473046234193,10.0,10.0,0.0,1000.0
10_10_0.0_4_stat_2_pop_beta_1.0.txt,,,0.0799399105828243,0.09496041840219333,0.08745016449250884,0.158176512615514,0.08588038631222786,10.0,10.0,0.0,1000.0
10_10_0.0_4_const_1_pop_theta_0.0001.txt,0.00019506917439466716,5883.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_const_1_pop_theta_0.000325.txt,0.0006508649281442997,18899.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_const_1_pop_theta_0.00055.txt,0.0010802262160572492,32161.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_const_1_pop_theta_0.0007750000000000001.txt,0.0016003598604058425,46502.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_const_1_pop_theta_0.001.txt,0.0019705510579354968,57611.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_exp_growth_1_pop_theta_0.0001.txt,0.00013117813135967064,5740.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_exp_growth_1_pop_theta_0.000325.txt,0.0004394793312420352,18963.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_exp_growth_1_pop_theta_0.00055.txt,0.0007349792151749825,31608.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_exp_growth_1_pop_theta_0.0007750000000000001.txt,0.001031394264091756,43987.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_exp_growth_1_pop_theta_0.001.txt,0.0013483463189883347,57821.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_4_const_2_pop_t_div_0.0.txt,,,0.0019857446024899765,0.001987033122242917,0.0019863888623664347,0.0006484641541788788,0.0003243372376195611,10.0,10.0,0.0,1000000.0
10_10_0.0_4_const_2_pop_t_div_0.25.txt,,,0.0020477411587099524,0.00231177158317812,0.002179756370944025,0.11421129422535362,0.06056420524505622,10.0,10.0,0.0,1000000.0
10_10_0.0_4_const_2_pop_t_div_0.5.txt,,,0.0018911032575237587,0.002402980615625919,0.0021470419365748456,0.21301768094738813,0.1192052538383965,10.0,10.0,0.0,1000000.0
10_10_0.0_4_const_2_pop_t_div_0.75.txt,,,0.0018063626193510112,0.0026175146260170572,0.0022119386226840507,0.3098939729327649,0.18335771127360584,10.0,10.0,0.0,1000000.0
10_10_0.0_4_const_2_pop_t_div_1.0.txt,,,0.00213258291932163,0.0032581084619154985,0.0026953456906185667,0.3454536752690401,0.20879057304437473,10.0,10.0,0.0,1000000.0
10_10_0.0_5_stat_1_pop_alpha_0.1.txt,0.10410676963426348,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_5_stat_1_pop_alpha_0.17500000000000002.txt,0.15498076982077696,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_5_stat_1_pop_alpha_0.25.txt,0.19035587916126265,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_5_stat_1_pop_alpha_0.32500000000000007.txt,0.21565655363274674,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_5_stat_1_pop_alpha_0.4.txt,0.23382377651926178,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_5_stat_2_pop_beta_0.1.txt,,,0.061586654846290924,0.10387866450979104,0.08273265967804098,0.40712893126878713,0.2555944038792054,10.0,10.0,0.0,1000.0
10_10_0.0_5_stat_2_pop_beta_0.325.txt,,,0.07487281205205916,0.10544486242926762,0.09015883724066337,0.28993399652558877,0.16954550054589568,10.0,10.0,0.0,1000.0
10_10_0.0_5_stat_2_pop_beta_0.55.txt,,,0.08751934984810184,0.11279294763041808,0.10015614873925993,0.22407072705581502,0.12617097452554735,10.0,10.0,0.0,1000.0
10_10_0.0_5_stat_2_pop_beta_0.775.txt,,,0.0827132811366001,0.10478242431798804,0.09374785272729409,0.21061874951865678,0.11770479290648693,10.0,10.0,0.0,1000.0
10_10_0.0_5_stat_2_pop_beta_1.0.txt,,,0.08794161165085285,0.10480670312833165,0.09637415738959225,0.160916153013879,0.0874979970475992,10.0,10.0,0.0,1000.0
10_10_0.0_5_const_1_pop_theta_0.0001.txt,0.00019774914028036466,5862.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_const_1_pop_theta_0.000325.txt,0.0006667380360748944,19473.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_const_1_pop_theta_0.00055.txt,0.0011332135410253895,33160.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_const_1_pop_theta_0.0007750000000000001.txt,0.0015059495633761397,42638.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_const_1_pop_theta_0.001.txt,0.001938053169689246,56071.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_exp_growth_1_pop_theta_0.0001.txt,0.00013716023938829526,5843.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_exp_growth_1_pop_theta_0.000325.txt,0.0004398822907558082,18885.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_exp_growth_1_pop_theta_0.00055.txt,0.0007406471498872661,31579.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_exp_growth_1_pop_theta_0.0007750000000000001.txt,0.001029890938535438,44155.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_exp_growth_1_pop_theta_0.001.txt,0.001340544750710715,57369.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_5_const_2_pop_t_div_0.0.txt,,,0.0017440170061758429,0.001745636902264484,0.0017448269542201745,0.000927968517702421,0.00046419964018361434,10.0,10.0,0.0,1000000.0
10_10_0.0_5_const_2_pop_t_div_0.25.txt,,,0.002075967808058036,0.0022946445760219586,0.002185306192039996,0.09529875356253428,0.05003343896623108,10.0,10.0,0.0,1000000.0
10_10_0.0_5_const_2_pop_t_div_0.5.txt,,,0.0019468577570826112,0.0024240333163415353,0.0021854455367120874,0.19685189805027098,0.10917123104720405,10.0,10.0,0.0,1000000.0
10_10_0.0_5_const_2_pop_t_div_0.75.txt,,,0.002008280856778746,0.002813043189883345,0.002410662023331046,0.2860824661344684,0.16691728772343245,10.0,10.0,0.0,1000000.0
10_10_0.0_5_const_2_pop_t_div_1.0.txt,,,0.0019465323634937615,0.0028914373943731003,0.0024189848789334376,0.3267942210051572,0.1953102392471286,10.0,10.0,0.0,1000000.0
10_10_0.0_6_stat_1_pop_alpha_0.1.txt,0.10434659880948147,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_6_stat_1_pop_alpha_0.17500000000000002.txt,0.15471858287916923,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_6_stat_1_pop_alpha_0.25.txt,0.19022376427330842,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_6_stat_1_pop_alpha_0.32500000000000007.txt,0.21564062276698054,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_6_stat_1_pop_alpha_0.4.txt,0.23392810230254896,,,,,,,10.0,10.0,0.0,1000000.0
10_10_0.0_6_stat_2_pop_beta_0.1.txt,,,0.06122509493211553,0.10767528041023844,0.08445018767117693,0.4313913583614511,0.27501528865149205,10.0,10.0,0.0,1000.0
10_10_0.0_6_stat_2_pop_beta_0.325.txt,,,0.06307058280016922,0.0925518481607926,0.07781121548048088,0.318537835240252,0.18944097697599105,10.0,10.0,0.0,1000.0
10_10_0.0_6_stat_2_pop_beta_0.55.txt,,,0.07678904408205052,0.09836096797864027,0.0875750060303454,0.21931386341454304,0.12316256015509112,10.0,10.0,0.0,1000.0
10_10_0.0_6_stat_2_pop_beta_0.775.txt,,,0.07983266885193475,0.09593880453123602,0.08788573669158538,0.16787926176479906,0.0916311126560957,10.0,10.0,0.0,1000.0
10_10_0.0_6_stat_2_pop_beta_1.0.txt,,,0.08966073914389001,0.1058908557411844,0.09777579744253723,0.15327212613111374,0.08299659538360121,10.0,10.0,0.0,1000.0
10_10_0.0_6_const_1_pop_theta_0.0001.txt,0.00019824211508675618,5891.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_const_1_pop_theta_0.000325.txt,0.0006639740501911578,18963.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_const_1_pop_theta_0.00055.txt,0.001170771964709342,35095.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_const_1_pop_theta_0.0007750000000000001.txt,0.0014659311691010682,42578.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_const_1_pop_theta_0.001.txt,0.0019728738055092643,56155.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_exp_growth_1_pop_theta_0.0001.txt,0.0001327532139986276,5671.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_exp_growth_1_pop_theta_0.000325.txt,0.0004324757025781787,18907.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_exp_growth_1_pop_theta_0.00055.txt,0.0007405864589746101,31548.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_exp_growth_1_pop_theta_0.0007750000000000001.txt,0.001044941672973238,44802.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_exp_growth_1_pop_theta_0.001.txt,0.0013399573543770213,57110.0,,,,,,10.0,10.0,0.0,10000000.0
10_10_0.0_6_const_2_pop_t_div_0.0.txt,,,0.0017214490608763746,0.001724004266248407,0.001722726663562396,0.0014821340190721705,0.0007416165971329613,10.0,10.0,0.0,1000000.0
10_10_0.0_6_const_2_pop_t_div_0.25.txt,,,0.0022367335820017934,0.0025516335065189685,0.0023941835442603666,0.12341111045636527,0.06576353038430649,10.0,10.0,0.0,1000000.0
10_10_0.0_6_const_2_pop_t_div_0.5.txt,,,0.002018599965689645,0.0024792043054602487,0.0022489021355749437,0.18578716516269345,0.10240648814467906,10.0,10.0,0.0,1000000.0
10_10_0.0_6_const_2_pop_t_div_0.75.txt,,,0.001808859140280365,0.002514044583864327,0.002161451862072346,0.2804983842012955,0.1631277235357552,10.0,10.0,0.0,1000000.0
10_10_0.0_6_const_2_pop_t_div_1.0.txt,,,0.002088716792471341,0.0030350870973433978,0.002561901944907362,0.3118099331318734,0.1847007272767152,10.0,10.0,0.0,1000000.0
10_10_0.0_7_stat_1_pop_alpha_0.1.txt,0.10407496525990574,,,,,,,10.0,10.0,0.0,1000000.0
