fname,true_pairwise_het,true_num_seg,pool_size,read_depth,seq_error,num_sites
100_10_0.0001_0_const_1_pop_theta_0.0007750000000000001.txt,0.001501701055372,80722,100,10,0.0001,10000000
10_10_1e-05_8_const_1_pop_theta_0.0007750000000000001.txt,0.001502033743751,43106,10,10,1E-05,10000000
100_10_0.0001_3_const_1_pop_theta_0.0007750000000000001.txt,0.001502815591901,78738,100,10,0.0001,10000000
100_1000_1e-05_0_const_1_pop_theta_0.0007750000000000001.txt,0.001503152603636,79830,100,1000,1E-05,10000000
100_10_0.0001_8_const_1_pop_theta_0.0007750000000000001.txt,0.001503487415537,77314,100,10,0.0001,10000000
100_1000_1e-05_5_const_1_pop_theta_0.0007750000000000001.txt,0.001504049716694,79426,100,1000,1E-05,10000000
1000_1000_0.0001_1_const_1_pop_theta_0.0007750000000000001.txt,0.00150468711055,114412,1000,1000,0.0001,10000000
10_1000_0.0001_7_const_1_pop_theta_0.0007750000000000001.txt,0.001505246119204,44229,10,1000,0.0001,10000000
10_10_0.0_7_const_1_pop_theta_0.0007750000000000001.txt,0.001505423855308,43340,10,10,0,10000000
100_100_0.001_3_const_1_pop_theta_0.0007750000000000001.txt,0.001505624228099,79676,100,100,0.001,10000000
1000_100_1e-05_7_const_1_pop_theta_0.0007750000000000001.txt,0.0015056329152,114993,1000,100,1E-05,10000000
10_1000_0.001_4_const_1_pop_theta_0.0007750000000000001.txt,0.001505706289972,44488,10,1000,0.001,10000000
10_10_0.0_5_const_1_pop_theta_0.0007750000000000001.txt,0.001505949563376,42638,10,10,0,10000000
10_100_1e-05_8_const_1_pop_theta_0.0007750000000000001.txt,0.001506008048819,44874,10,100,1E-05,10000000
1000_100_0.001_4_const_1_pop_theta_0.0007750000000000001.txt,0.00150703792145,112193,1000,100,0.001,10000000
100_1000_0.001_5_const_1_pop_theta_0.0007750000000000001.txt,0.001507170392397,79641,100,1000,0.001,10000000
100_10_0.0_0_const_1_pop_theta_0.0007750000000000001.txt,0.001507175458678,78661,100,10,0,10000000
100_10_1e-05_5_const_1_pop_theta_0.0007750000000000001.txt,0.001507479919504,79617,100,10,1E-05,10000000
10_100_0.0_7_const_1_pop_theta_0.0007750000000000001.txt,0.001507980259778,45642,10,100,0,10000000
1000_10_0.001_0_const_1_pop_theta_0.0007750000000000001.txt,0.0015083991119,114146,1000,10,0.001,10000000
100_1000_0.0_4_const_1_pop_theta_0.0007750000000000001.txt,0.001508587011405,80287,100,1000,0,10000000
100_1000_1e-05_4_const_1_pop_theta_0.0007750000000000001.txt,0.001508714526281,77828,100,1000,1E-05,10000000
10_10_0.001_4_const_1_pop_theta_0.0007750000000000001.txt,0.001508943667876,43348,10,10,0.001,10000000
1000_10_0.0001_3_const_1_pop_theta_0.0007750000000000001.txt,0.00150935561855,113876,1000,10,0.0001,10000000
100_10_1e-05_4_const_1_pop_theta_0.0007750000000000001.txt,0.001509687054876,80317,100,10,1E-05,10000000
1000_1000_0.0001_3_const_1_pop_theta_0.0007750000000000001.txt,0.001509781878,115433,1000,1000,0.0001,10000000
100_100_1e-05_3_const_1_pop_theta_0.0007750000000000001.txt,0.001510243883802,78965,100,100,1E-05,10000000
1000_100_0.0_0_const_1_pop_theta_0.0007750000000000001.txt,0.00151025515105,113663,1000,100,0,10000000
10_1000_0.0001_6_const_1_pop_theta_0.0007750000000000001.txt,0.001510761319675,44468,10,1000,0.0001,10000000
100_1000_0.0_6_const_1_pop_theta_0.0007750000000000001.txt,0.001510818313884,80635,100,1000,0,10000000
100_10_1e-05_9_const_1_pop_theta_0.0007750000000000001.txt,0.001511067103471,76848,100,10,1E-05,10000000
1000_1000_0.0_9_const_1_pop_theta_0.0007750000000000001.txt,0.0015116701452,112205,1000,1000,0,10000000
100_1000_1e-05_6_const_1_pop_theta_0.0007750000000000001.txt,0.001512049537851,79943,100,1000,1E-05,10000000
10_1000_1e-05_1_const_1_pop_theta_0.0007750000000000001.txt,0.001512376211744,44432,10,1000,1E-05,10000000
100_1000_0.001_2_const_1_pop_theta_0.0007750000000000001.txt,0.001512571827107,80387,100,1000,0.001,10000000
100_100_0.0001_5_const_1_pop_theta_0.0007750000000000001.txt,0.001512738583306,76881,100,100,0.0001,10000000
1000_1000_0.0001_5_const_1_pop_theta_0.0007750000000000001.txt,0.00151332810995,114075,1000,1000,0.0001,10000000
10_10_0.0_8_const_1_pop_theta_0.0007750000000000001.txt,0.001513814306441,45248,10,10,0,10000000
100_100_0.0001_7_const_1_pop_theta_0.0007750000000000001.txt,0.001513827354711,78712,100,100,0.0001,10000000
