fname,true_pairwise_het,true_num_seg,pool_size,read_depth,seq_error,num_sites,est_pi_within
10_100_0.0001_8_exp_growth_1_pop_theta_0.0001.txt,0.000133028468582,5750,10,100,0.0001,10000000,0.000356360361600621
10_10_0.0001_7_exp_growth_1_pop_theta_0.0001.txt,0.00013303421841,5742,10,10,0.0001,10000000,0.000351727404520352
10_100_0.0001_4_exp_growth_1_pop_theta_0.0001.txt,0.000133075003431,5753,10,100,0.0001,10000000,0.000357618144919159
1000_100_0.0001_5_exp_growth_1_pop_theta_0.0001.txt,0.00013308444575,162607,1000,100,0.0001,10000000,0.000334538371632185
10_100_1e-05_1_exp_growth_1_pop_theta_0.0001.txt,0.000133091701402,5706,10,100,1E-05,10000000,0.000154695821563561
1000_10_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.0001330986659,162937,1000,10,0.001,10000000,0.00212847652127703
100_100_1e-05_1_exp_growth_1_pop_theta_0.0001.txt,0.000133118246116,35063,100,100,1E-05,10000000,0.000154342357485902
100_10_0.0001_4_exp_growth_1_pop_theta_0.0001.txt,0.000133118631736,35340,100,10,0.0001,10000000,0.000329260608309151
1000_10_0.0_1_exp_growth_1_pop_theta_0.0001.txt,0.00013312845105,162618,1000,10,0,10000000,0.000134830625849679
100_100_0.0_6_exp_growth_1_pop_theta_0.0001.txt,0.000133133456033,35028,100,100,0,10000000,0.000134028321195283
10_100_0.001_9_exp_growth_1_pop_theta_0.0001.txt,0.000133149990981,5735,10,100,0.001,10000000,0.00234974657708903
10_100_0.0001_5_exp_growth_1_pop_theta_0.0001.txt,0.00013315938457,5628,10,100,0.0001,10000000,0.000352725739559573
1000_10_0.0_2_exp_growth_1_pop_theta_0.0001.txt,0.00013316362265,164045,1000,10,0,10000000,0.000132141677575
10_100_1e-05_7_exp_growth_1_pop_theta_0.0001.txt,0.000133199941378,5723,10,100,1E-05,10000000,0.000155319860525766
1000_10_0.001_4_exp_growth_1_pop_theta_0.0001.txt,0.0001332008055,161722,1000,10,0.001,10000000,0.00213259408079038
10_100_0.001_8_exp_growth_1_pop_theta_0.0001.txt,0.00013320101343,5609,10,100,0.001,10000000,0.00234905566353784
10_100_0.0_7_exp_growth_1_pop_theta_0.0001.txt,0.000133202433879,5648,10,100,0,10000000,0.000132315666839481
100_1000_0.0001_6_exp_growth_1_pop_theta_0.0001.txt,0.000133211815041,35050,100,1000,0.0001,10000000,0.000335640619372354
10_100_0.0_2_exp_growth_1_pop_theta_0.0001.txt,0.000133215301245,5623,10,100,0,10000000,0.000132106017067394
1000_1000_0.001_5_exp_growth_1_pop_theta_0.0001.txt,0.0001332168844,162954,1000,1000,0.001,10000000,0.00213274378170899
1000_100_0.0001_0_exp_growth_1_pop_theta_0.0001.txt,0.0001332629663,163162,1000,100,0.0001,10000000,0.00033259839355704
100_10_1e-05_8_exp_growth_1_pop_theta_0.0001.txt,0.000133279110248,35001,100,10,1E-05,10000000,0.000151802647801444
100_1000_0.0001_9_exp_growth_1_pop_theta_0.0001.txt,0.00013328871686,35107,100,1000,0.0001,10000000,0.000335906023387667
10_1000_1e-05_9_exp_growth_1_pop_theta_0.0001.txt,0.000133304544849,5777,10,1000,1E-05,10000000,0.000157161270064998
100_1000_1e-05_5_exp_growth_1_pop_theta_0.0001.txt,0.000133305055537,34792,100,1000,1E-05,10000000,0.000153160559225081
1000_10_0.001_8_exp_growth_1_pop_theta_0.0001.txt,0.0001333500332,162844,1000,10,0.001,10000000,0.0021307730040972
100_1000_0.0_6_exp_growth_1_pop_theta_0.0001.txt,0.000133352849091,35348,100,1000,0,10000000,0.000133574095227527
100_100_0.0001_5_exp_growth_1_pop_theta_0.0001.txt,0.000133391968595,35471,100,100,0.0001,10000000,0.000336976594824105
10_10_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.000133394921478,5767,10,10,0.001,10000000,0.00235539500330751
1000_100_0.0_8_exp_growth_1_pop_theta_0.0001.txt,0.0001334010113,162874,1000,100,0,10000000,0.000133896991546231
100_100_0.0_5_exp_growth_1_pop_theta_0.0001.txt,0.000133407008595,35205,100,100,0,10000000,0.000134159041847745
100_1000_0.0_1_exp_growth_1_pop_theta_0.0001.txt,0.000133408887603,35189,100,1000,0,10000000,0.000132962245697444
1000_100_1e-05_5_exp_growth_1_pop_theta_0.0001.txt,0.00013344140385,163468,1000,100,1E-05,10000000,0.000153346391539391
1000_1000_0.0_7_exp_growth_1_pop_theta_0.0001.txt,0.00013344202295,161858,1000,1000,0,10000000,0.000133478133269329
1000_1000_1e-05_1_exp_growth_1_pop_theta_0.0001.txt,0.0001334580224,163090,1000,1000,1E-05,10000000,0.000153603326366495
100_1000_0.0001_3_exp_growth_1_pop_theta_0.0001.txt,0.000133462846942,34976,100,1000,0.0001,10000000,0.000334762879758034
10_100_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.000133477589256,5748,10,100,0.0001,10000000,0.00035519595384502
1000_100_1e-05_4_exp_growth_1_pop_theta_0.0001.txt,0.0001334780604,162307,1000,100,1E-05,10000000,0.00015403000503125
1000_1000_1e-05_0_exp_growth_1_pop_theta_0.0001.txt,0.0001334798099,163507,1000,1000,1E-05,10000000,0.000153589532703518
1000_100_1e-05_2_exp_growth_1_pop_theta_0.0001.txt,0.00013347998705,161858,1000,100,1E-05,10000000,0.000152776723667047
10_1000_1e-05_1_exp_growth_1_pop_theta_0.0001.txt,0.000133480078032,5799,10,1000,1E-05,10000000,0.000156760646021845
1000_1000_0.0_1_exp_growth_1_pop_theta_0.0001.txt,0.0001335086866,163390,1000,1000,0,10000000,0.000133753299145785
100_10_0.0001_0_exp_growth_1_pop_theta_0.0001.txt,0.000133511481653,35048,100,10,0.0001,10000000,0.000335259320731335
1000_100_1e-05_3_exp_growth_1_pop_theta_0.0001.txt,0.00013352108825,163777,1000,100,1E-05,10000000,0.000153543521877891
10_100_0.001_7_exp_growth_1_pop_theta_0.0001.txt,0.000133526353495,5906,10,100,0.001,10000000,0.00235755146588153
100_10_0.0_6_exp_growth_1_pop_theta_0.0001.txt,0.00013352828,35210,100,10,0,10000000,0.000132894524591447
1000_1000_0.001_3_exp_growth_1_pop_theta_0.0001.txt,0.0001335327314,163969,1000,1000,0.001,10000000,0.00213354642368399
10_10_0.0001_0_exp_growth_1_pop_theta_0.0001.txt,0.000133541073032,5763,10,10,0.0001,10000000,0.000352369971645627
100_1000_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.000133556271405,34716,100,1000,0.0001,10000000,0.000335751817064631
1000_100_0.0_5_exp_growth_1_pop_theta_0.0001.txt,0.00013356381455,163053,1000,100,0,10000000,0.000133462002164863
100_100_0.001_6_exp_growth_1_pop_theta_0.0001.txt,0.000133569229256,34607,100,100,0.001,10000000,0.00215346997092212
1000_10_0.001_3_exp_growth_1_pop_theta_0.0001.txt,0.0001335720354,163914,1000,10,0.001,10000000,0.00213499079891923
1000_100_1e-05_8_exp_growth_1_pop_theta_0.0001.txt,0.0001335779436,162666,1000,100,1E-05,10000000,0.00015348772836556
1000_10_0.0001_6_exp_growth_1_pop_theta_0.0001.txt,0.00013358172345,162348,1000,10,0.0001,10000000,0.000334602903140894
100_100_0.0001_9_exp_growth_1_pop_theta_0.0001.txt,0.000133587977025,35196,100,100,0.0001,10000000,0.000336263954920407
1000_1000_0.001_8_exp_growth_1_pop_theta_0.0001.txt,0.0001336130709,161854,1000,1000,0.001,10000000,0.00213374965097817
100_1000_1e-05_8_exp_growth_1_pop_theta_0.0001.txt,0.000133614496033,34969,100,1000,1E-05,10000000,0.00015498827198798
100_10_1e-05_7_exp_growth_1_pop_theta_0.0001.txt,0.000133646218678,34976,100,10,1E-05,10000000,0.000151681884274496
100_1000_0.001_5_exp_growth_1_pop_theta_0.0001.txt,0.000133658972893,35134,100,1000,0.001,10000000,0.0021519266408285
100_10_1e-05_6_exp_growth_1_pop_theta_0.0001.txt,0.000133665250248,35027,100,10,1E-05,10000000,0.000152573963977047
1000_1000_0.001_7_exp_growth_1_pop_theta_0.0001.txt,0.0001336653935,163140,1000,1000,0.001,10000000,0.00213336082587205
1000_100_0.0001_9_exp_growth_1_pop_theta_0.0001.txt,0.00013366882345,163401,1000,100,0.0001,10000000,0.000333791050763744
10_1000_0.0001_9_exp_growth_1_pop_theta_0.0001.txt,0.000133677320067,5873,10,1000,0.0001,10000000,0.000358871908465112
1000_100_1e-05_7_exp_growth_1_pop_theta_0.0001.txt,0.0001336918919,162174,1000,100,1E-05,10000000,0.000154426680796604
10_1000_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.000133717158906,5690,10,1000,0.001,10000000,0.00235333790333919
1000_100_0.0_4_exp_growth_1_pop_theta_0.0001.txt,0.00013372074075,162621,1000,100,0,10000000,0.000134047401568867
1000_100_0.001_9_exp_growth_1_pop_theta_0.0001.txt,0.00013374126825,162499,1000,100,0.001,10000000,0.00213347684012273
100_10_0.0001_5_exp_growth_1_pop_theta_0.0001.txt,0.000133751594545,34649,100,10,0.0001,10000000,0.000338413778327209
1000_100_1e-05_6_exp_growth_1_pop_theta_0.0001.txt,0.0001338179256,162614,1000,100,1E-05,10000000,0.000153763116543873
10_1000_1e-05_7_exp_growth_1_pop_theta_0.0001.txt,0.000133825899814,5646,10,1000,1E-05,10000000,0.000154035357880169
1000_1000_0.0001_3_exp_growth_1_pop_theta_0.0001.txt,0.0001338317784,163106,1000,1000,0.0001,10000000,0.000334132768594296
10_1000_0.0001_6_exp_growth_1_pop_theta_0.0001.txt,0.000133848166062,5727,10,1000,0.0001,10000000,0.000355243964697231
10_1000_0.001_6_exp_growth_1_pop_theta_0.0001.txt,0.00013386076071,5672,10,1000,0.001,10000000,0.00235186201851235
100_1000_0.001_8_exp_growth_1_pop_theta_0.0001.txt,0.000133866080661,35224,100,1000,0.001,10000000,0.00214982801092807
100_10_0.001_8_exp_growth_1_pop_theta_0.0001.txt,0.000133869533719,35464,100,10,0.001,10000000,0.00214214960699302
10_1000_0.001_4_exp_growth_1_pop_theta_0.0001.txt,0.000133888124694,5794,10,1000,0.001,10000000,0.00235568661759915
10_1000_1e-05_3_exp_growth_1_pop_theta_0.0001.txt,0.000133888498579,5822,10,1000,1E-05,10000000,0.000158222565166525
100_10_0.001_6_exp_growth_1_pop_theta_0.0001.txt,0.000133891457355,34758,100,10,0.001,10000000,0.00214895058627229
10_10_1e-05_9_exp_growth_1_pop_theta_0.0001.txt,0.000133909534751,5757,10,10,1E-05,10000000,0.000156371394551704
1000_100_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.0001339161668,163486,1000,100,0.0001,10000000,0.000334139482269761
10_100_1e-05_4_exp_growth_1_pop_theta_0.0001.txt,0.000133918337418,5655,10,100,1E-05,10000000,0.000155005640689394
100_10_1e-05_9_exp_growth_1_pop_theta_0.0001.txt,0.000133918551405,35158,100,10,1E-05,10000000,0.000154080105923612
1000_100_0.001_4_exp_growth_1_pop_theta_0.0001.txt,0.0001339315444,163093,1000,100,0.001,10000000,0.00213562875217903
10_1000_0.0001_5_exp_growth_1_pop_theta_0.0001.txt,0.000133933026958,5905,10,1000,0.0001,10000000,0.000359540037486918
100_1000_0.0001_1_exp_growth_1_pop_theta_0.0001.txt,0.000133943371736,34925,100,1000,0.0001,10000000,0.000335501963418029
10_1000_0.001_1_exp_growth_1_pop_theta_0.0001.txt,0.000133944924223,5680,10,1000,0.001,10000000,0.00235115141353522
10_1000_0.0_4_exp_growth_1_pop_theta_0.0001.txt,0.000133946207039,5646,10,1000,0,10000000,0.000133426160140575
100_100_0.0_2_exp_growth_1_pop_theta_0.0001.txt,0.000133964409917,35113,100,100,0,10000000,0.000133395761654672
10_10_0.0_9_exp_growth_1_pop_theta_0.0001.txt,0.000134006173708,5542,10,10,0,10000000,0.000133197865887313
1000_100_0.001_3_exp_growth_1_pop_theta_0.0001.txt,0.0001340118657,162588,1000,100,0.001,10000000,0.0021331244295918
10_100_0.0_8_exp_growth_1_pop_theta_0.0001.txt,0.000134027273209,5876,10,100,0,10000000,0.000136622267706724
100_100_1e-05_5_exp_growth_1_pop_theta_0.0001.txt,0.000134056909587,35208,100,100,1E-05,10000000,0.00015415186005859
1000_1000_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.00013405839365,163484,1000,1000,0.0001,10000000,0.000334518690202161
1000_10_0.0001_9_exp_growth_1_pop_theta_0.0001.txt,0.00013405962185,162673,1000,10,0.0001,10000000,0.000333959451443904
1000_100_0.0_0_exp_growth_1_pop_theta_0.0001.txt,0.00013406180335,163547,1000,100,0,10000000,0.000134621122059687
100_100_0.0001_6_exp_growth_1_pop_theta_0.0001.txt,0.000134063507934,34846,100,100,0.0001,10000000,0.000335577687319869
10_10_1e-05_1_exp_growth_1_pop_theta_0.0001.txt,0.000134070056857,5658,10,10,1E-05,10000000,0.000156882712835422
100_10_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.00013407748,35188,100,10,0.001,10000000,0.00215402989944811
1000_1000_0.001_1_exp_growth_1_pop_theta_0.0001.txt,0.00013409902385,162986,1000,1000,0.001,10000000,0.00213425630932209
100_10_1e-05_3_exp_growth_1_pop_theta_0.0001.txt,0.000134105621488,35154,100,10,1E-05,10000000,0.000155927786198552
1000_100_1e-05_9_exp_growth_1_pop_theta_0.0001.txt,0.0001341090332,163531,1000,100,1E-05,10000000,0.000153944385999632
10_100_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.000134110941476,5665,10,100,0,10000000,0.000132367116461509
10_10_1e-05_2_exp_growth_1_pop_theta_0.0001.txt,0.000134121158318,5703,10,10,1E-05,10000000,0.000155072516381039
100_1000_0.001_9_exp_growth_1_pop_theta_0.0001.txt,0.00013412924595,35166,100,1000,0.001,10000000,0.00215172957390787
1000_1000_1e-05_7_exp_growth_1_pop_theta_0.0001.txt,0.0001341515146,162361,1000,1000,1E-05,10000000,0.000154273068732738
1000_1000_0.0001_9_exp_growth_1_pop_theta_0.0001.txt,0.0001341597166,163079,1000,1000,0.0001,10000000,0.000333937168736409
10_10_1e-05_0_exp_growth_1_pop_theta_0.0001.txt,0.000134171942359,5775,10,10,1E-05,10000000,0.000157315781542347
1000_100_0.0_7_exp_growth_1_pop_theta_0.0001.txt,0.00013419512425,162524,1000,100,0,10000000,0.000133904601738
100_10_1e-05_0_exp_growth_1_pop_theta_0.0001.txt,0.000134203070083,35159,100,10,1E-05,10000000,0.000154981960453321
10_1000_0.001_8_exp_growth_1_pop_theta_0.0001.txt,0.000134232404274,5839,10,1000,0.001,10000000,0.00235590596449339
1000_100_0.001_5_exp_growth_1_pop_theta_0.0001.txt,0.00013426832525,162394,1000,100,0.001,10000000,0.00213652299261386
10_1000_0.001_7_exp_growth_1_pop_theta_0.0001.txt,0.000134272808548,5710,10,1000,0.001,10000000,0.0023533398191172
10_1000_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.000134303735124,5689,10,1000,0,10000000,0.000133763728861118
100_1000_0.0001_8_exp_growth_1_pop_theta_0.0001.txt,0.000134309568264,34990,100,1000,0.0001,10000000,0.00033655894016247
10_1000_0.0001_4_exp_growth_1_pop_theta_0.0001.txt,0.000134310456034,5742,10,1000,0.0001,10000000,0.000354561529950438
1000_1000_1e-05_3_exp_growth_1_pop_theta_0.0001.txt,0.0001343446986,162760,1000,1000,1E-05,10000000,0.000154137474611482
100_1000_0.001_0_exp_growth_1_pop_theta_0.0001.txt,0.00013434506314,34943,100,1000,0.001,10000000,0.00215286380632333
100_1000_0.001_7_exp_growth_1_pop_theta_0.0001.txt,0.000134372014545,35123,100,1000,0.001,10000000,0.00215155851677521
100_100_1e-05_6_exp_growth_1_pop_theta_0.0001.txt,0.000134384440661,35160,100,100,1E-05,10000000,0.000154361275437949
100_100_0.0_3_exp_growth_1_pop_theta_0.0001.txt,0.000134387490413,35326,100,100,0,10000000,0.000134921151516321
100_100_1e-05_8_exp_growth_1_pop_theta_0.0001.txt,0.000134394859669,35152,100,100,1E-05,10000000,0.000154971559182742
10_1000_0.0_9_exp_growth_1_pop_theta_0.0001.txt,0.000134421192824,5818,10,1000,0,10000000,0.000136849267858805
10_10_1e-05_5_exp_growth_1_pop_theta_0.0001.txt,0.000134427156749,5790,10,10,1E-05,10000000,0.000158277034883853
1000_10_1e-05_7_exp_growth_1_pop_theta_0.0001.txt,0.00013443903185,162502,1000,10,1E-05,10000000,0.000155643363286605
1000_1000_0.0001_8_exp_growth_1_pop_theta_0.0001.txt,0.00013444517005,162307,1000,1000,0.0001,10000000,0.000334529730932007
100_1000_1e-05_3_exp_growth_1_pop_theta_0.0001.txt,0.000134456958182,35463,100,1000,1E-05,10000000,0.000154740272707786
1000_1000_0.001_9_exp_growth_1_pop_theta_0.0001.txt,0.00013446164915,163151,1000,1000,0.001,10000000,0.002134176202789
1000_10_0.0001_7_exp_growth_1_pop_theta_0.0001.txt,0.0001344772801,163285,1000,10,0.0001,10000000,0.000334480088973889
1000_100_0.0_1_exp_growth_1_pop_theta_0.0001.txt,0.0001344800884,162349,1000,100,0,10000000,0.000134790560162764
1000_100_0.0_2_exp_growth_1_pop_theta_0.0001.txt,0.0001344859932,162810,1000,100,0,10000000,0.000134266119770776
1000_1000_0.0001_1_exp_growth_1_pop_theta_0.0001.txt,0.000134496735,162518,1000,1000,0.0001,10000000,0.000334418662184112
100_1000_0.0001_0_exp_growth_1_pop_theta_0.0001.txt,0.000134507404132,35287,100,1000,0.0001,10000000,0.000336579318039949
100_100_1e-05_0_exp_growth_1_pop_theta_0.0001.txt,0.000134519670248,35077,100,100,1E-05,10000000,0.000155238906112886
10_10_0.0001_6_exp_growth_1_pop_theta_0.0001.txt,0.000134520644643,5706,10,10,0.0001,10000000,0.00035665220994037
1000_10_0.0001_1_exp_growth_1_pop_theta_0.0001.txt,0.00013454199355,163409,1000,10,0.0001,10000000,0.000336542178822251
1000_1000_1e-05_2_exp_growth_1_pop_theta_0.0001.txt,0.00013454953245,163485,1000,1000,1E-05,10000000,0.000154635039255216
10_100_0.0001_6_exp_growth_1_pop_theta_0.0001.txt,0.00013455934281,5674,10,100,0.0001,10000000,0.000355982321925904
10_1000_0.0001_0_exp_growth_1_pop_theta_0.0001.txt,0.000134574656994,5739,10,1000,0.0001,10000000,0.000356636813363573
100_100_0.0001_1_exp_growth_1_pop_theta_0.0001.txt,0.000134594849752,34657,100,100,0.0001,10000000,0.000336846141255767
10_100_0.0001_1_exp_growth_1_pop_theta_0.0001.txt,0.000134596152142,5787,10,100,0.0001,10000000,0.000358047995205043
100_10_0.0001_2_exp_growth_1_pop_theta_0.0001.txt,0.000134606254545,35184,100,10,0.0001,10000000,0.000337684944476644
100_10_0.0_9_exp_growth_1_pop_theta_0.0001.txt,0.000134613850744,35318,100,10,0,10000000,0.000134751200977246
100_1000_0.0_7_exp_growth_1_pop_theta_0.0001.txt,0.000134618377355,34993,100,1000,0,10000000,0.000135014585082149
10_100_0.0_0_exp_growth_1_pop_theta_0.0001.txt,0.000134634811881,5777,10,100,0,10000000,0.000135034416454266
1000_1000_0.001_2_exp_growth_1_pop_theta_0.0001.txt,0.00013467531675,163084,1000,1000,0.001,10000000,0.00213432175307954
100_10_0.0_7_exp_growth_1_pop_theta_0.0001.txt,0.00013468250843,35153,100,10,0,10000000,0.000135317187707754
1000_1000_1e-05_9_exp_growth_1_pop_theta_0.0001.txt,0.00013470418305,162051,1000,1000,1E-05,10000000,0.000154962758219898
1000_100_0.0001_3_exp_growth_1_pop_theta_0.0001.txt,0.00013470807405,163427,1000,100,0.0001,10000000,0.000335370385055065
10_10_0.0001_4_exp_growth_1_pop_theta_0.0001.txt,0.000134711770023,6000,10,10,0.0001,10000000,0.000358424854385724
10_1000_1e-05_8_exp_growth_1_pop_theta_0.0001.txt,0.000134717459857,5860,10,1000,1E-05,10000000,0.000159838443396788
100_100_1e-05_4_exp_growth_1_pop_theta_0.0001.txt,0.00013474334314,34922,100,100,1E-05,10000000,0.00015410053212145
100_10_1e-05_4_exp_growth_1_pop_theta_0.0001.txt,0.000134747687934,35486,100,10,1E-05,10000000,0.000153708669647062
100_100_0.001_1_exp_growth_1_pop_theta_0.0001.txt,0.000134750869917,35230,100,100,0.001,10000000,0.00215344832824091
10_100_0.0001_9_exp_growth_1_pop_theta_0.0001.txt,0.000134764195471,5758,10,100,0.0001,10000000,0.000355734949389598
100_1000_1e-05_2_exp_growth_1_pop_theta_0.0001.txt,0.000134823424793,35202,100,1000,1E-05,10000000,0.000155404955285657
100_1000_0.001_4_exp_growth_1_pop_theta_0.0001.txt,0.000134826911736,35225,100,1000,0.001,10000000,0.0021512553108165
1000_10_0.001_6_exp_growth_1_pop_theta_0.0001.txt,0.0001348307835,162805,1000,10,0.001,10000000,0.00213080038275516
10_10_0.0_1_exp_growth_1_pop_theta_0.0001.txt,0.000134838687188,5726,10,10,0,10000000,0.000137192777953073
100_10_0.0_2_exp_growth_1_pop_theta_0.0001.txt,0.00013486092595,35360,100,10,0,10000000,0.000133803925354248
10_1000_0.0_6_exp_growth_1_pop_theta_0.0001.txt,0.000134865891579,5775,10,1000,0,10000000,0.000135056500077187
