fname,true_pi_w,true_pi_b,true_pi_t,true_hudson_fst,true_nei_fst,pool_size,read_depth,seq_error,num_sites
100_100_0.0_0_stat_2_pop_beta_0.325.txt,0.072541135233362,0.106702624537625,0.089621879885493,0.320156036014069,0.190586770484566,100,100,0,1000
10_100_0.001_1_const_2_pop_t_div_1.0.txt,0.00188972768062,0.002780428897167,0.002335078288893,0.320346698113732,0.19072191728733,10,100,0.001,1000000
10_100_0.0001_4_const_2_pop_t_div_1.0.txt,0.001937055419077,0.002850300488187,0.002393677953632,0.320403084831113,0.190761891700009,10,100,0.0001,1000000
100_10_1e-05_4_const_2_pop_t_div_1.0.txt,0.001894534434711,0.00278812858843,0.00234133151157,0.320499620220939,0.190830335068494,100,10,1E-05,1000000
10_1000_0.0_9_const_2_pop_t_div_1.0.txt,0.001919680466621,0.002825489244192,0.002372584855406,0.320584755165103,0.190890702076856,10,1000,0,1000000
1000_10_0.001_7_const_2_pop_t_div_0.75.txt,0.001900470531,0.002797355113,0.002348912822,0.32061877944349,0.190914829533024,1000,10,0.001,1000000
10_100_0.001_9_const_2_pop_t_div_1.0.txt,0.002011045305362,0.002960303850603,0.002485674577983,0.320662537748398,0.190945861065034,10,100,0.001,1000000
10_10_0.0_3_const_2_pop_t_div_1.0.txt,0.001846243777081,0.002718398739339,0.00228232125821,0.320834081342531,0.191067528096955,10,10,0,1000000
1000_100_0.0001_6_const_2_pop_t_div_1.0.txt,0.00209896151475,0.0030906989265,0.002594830220625,0.320878039347935,0.191098709246438,1000,100,0.0001,1000000
1000_100_1e-05_2_const_2_pop_t_div_1.0.txt,0.00195937836275,0.002885193587,0.002422285974875,0.320884958437996,0.191103617379016,1000,100,1E-05,1000000
1000_1000_0.001_9_const_2_pop_t_div_1.0.txt,0.00194441934,0.0028634313845,0.00240392536225,0.320947814386183,0.191148206789579,1000,1000,0.001,1000000
100_100_1e-05_2_stat_2_pop_beta_0.325.txt,0.07125669388537,0.104945480597007,0.088101087241189,0.321012267703107,0.191193932825201,100,100,1E-05,1000
100_10_1e-05_6_const_2_pop_t_div_1.0.txt,0.001988941626446,0.00293004226281,0.002459491944628,0.321190123537999,0.191320129837957,100,10,1E-05,1000000
100_10_0.001_3_const_2_pop_t_div_1.0.txt,0.001809397090083,0.002665759414876,0.002237578252479,0.321245165641872,0.191359190196853,100,10,0.001,1000000
100_1000_0.0_1_const_2_pop_t_div_1.0.txt,0.001873453857851,0.002760238532231,0.002316846195041,0.321271029305985,0.191377545103737,100,1000,0,1000000
10_100_0.001_6_const_2_pop_t_div_0.75.txt,0.001574774500539,0.002320459121655,0.001947616811097,0.321352190244078,0.191435147013245,10,100,0.001,1000000
100_1000_0.001_4_const_2_pop_t_div_1.0.txt,0.00201471261405,0.002968927370248,0.002491819992149,0.321400505031057,0.191469439848109,100,1000,0.001,1000000
100_10_0.001_5_const_2_pop_t_div_1.0.txt,0.002049552441322,0.003020610601653,0.002535081521488,0.32147743896517,0.191524050035366,100,10,0.001,1000000
100_10_0.0001_0_const_2_pop_t_div_1.0.txt,0.002064085199174,0.003042159771901,0.002553122485537,0.321506642011769,0.191544780610317,100,10,0.0001,1000000
10_10_1e-05_0_const_2_pop_t_div_1.0.txt,0.002165921065582,0.003192867401235,0.002679394233408,0.32163763996464,0.191637781937538,10,10,1E-05,1000000
10_100_0.0_8_stat_2_pop_beta_0.325.txt,0.06911902594481,0.101894659918173,0.085506842931492,0.321661939886581,0.191655035139251,10,100,0,1000
1000_1000_0.0001_9_const_2_pop_t_div_0.75.txt,0.00202415244575,0.002984353828,0.002504253136875,0.32174515409038,0.191714121889524,1000,1000,0.0001,1000000
1000_100_0.0001_9_stat_2_pop_beta_0.325.txt,0.072111397333919,0.106328624019266,0.089220010676593,0.321806352719732,0.191757580086935,1000,100,0.0001,1000
10_1000_1e-05_3_const_2_pop_t_div_1.0.txt,0.002005322295853,0.002956873390844,0.002481097843349,0.321809888085568,0.191760090707759,10,1000,1E-05,1000000
100_100_0.0001_4_const_2_pop_t_div_0.75.txt,0.001850399005785,0.002728492894215,0.00228944595,0.321823776888473,0.191769953867972,100,100,0.0001,1000000
10_1000_0.0001_2_stat_2_pop_beta_0.325.txt,0.071786439611721,0.105853707281441,0.088820073446581,0.321833486465838,0.191776849240108,10,1000,0.0001,1000
100_100_0.001_0_const_2_pop_t_div_1.0.txt,0.001801465485124,0.002656843849587,0.002229154667355,0.321952818038482,0.191861600495702,100,100,0.001,1000000
1000_100_0.0001_7_stat_2_pop_beta_0.325.txt,0.074866707598404,0.110422622167103,0.092644664882753,0.321998462551381,0.19189402117055,1000,100,0.0001,1000
10_1000_0.001_5_const_2_pop_t_div_1.0.txt,0.002067059545143,0.003049303352612,0.002558181448878,0.322120725256247,0.191980871392214,10,1000,0.001,1000000
100_1000_0.0_7_const_2_pop_t_div_1.0.txt,0.00204819447438,0.003021682923967,0.002534938699174,0.322167637731027,0.192014199377648,100,1000,0,1000000
100_100_0.001_9_const_2_pop_t_div_1.0.txt,0.00199076103967,0.002937304500826,0.002464032770248,0.322249007854155,0.192072011497937,100,100,0.001,1000000
10_10_0.001_4_const_2_pop_t_div_1.0.txt,0.002273881781198,0.003355056737575,0.002814469259386,0.322252361418577,0.192074394270068,10,10,0.001,1000000
1000_1000_1e-05_4_stat_2_pop_beta_0.325.txt,0.073643693297667,0.108665274559881,0.091154483928774,0.322288618917673,0.192100156529759,1000,1000,1E-05,1000
10_1000_0.001_2_stat_2_pop_beta_0.325.txt,0.074058699212784,0.109288528748361,0.091673613980572,0.322356151547196,0.192148143865271,10,1000,0.001,1000
1000_10_0.001_1_stat_2_pop_beta_0.325.txt,0.069939191693392,0.103229762082729,0.08658447688806,0.322490042771361,0.192243295714404,1000,10,0.001,1000
1000_100_0.0001_3_stat_2_pop_beta_0.325.txt,0.07290031229166,0.10763001344724,0.09026516286945,0.322676733405824,0.192375995630838,1000,100,0.0001,1000
100_100_1e-05_5_stat_2_pop_beta_0.325.txt,0.068388754156313,0.100979462404028,0.08468410828017,0.322745907651172,0.192425172264269,100,100,1E-05,1000
100_100_1e-05_8_const_2_pop_t_div_1.0.txt,0.001892717671075,0.002794887414876,0.002343802542975,0.322792874947179,0.192458564076858,100,100,1E-05,1000000
10_100_0.0_3_const_2_pop_t_div_1.0.txt,0.002095342466425,0.003094349542202,0.002594846004313,0.322848812699428,0.192498335954468,10,100,0,1000000
100_10_0.001_8_const_2_pop_t_div_1.0.txt,0.002052374758678,0.003031281780165,0.002541828269421,0.322935013132988,0.192559629866364,100,10,0.001,1000000
100_10_0.0_9_stat_2_pop_beta_0.325.txt,0.077554382323059,0.114555125915244,0.096054754119151,0.322995093380289,0.192602354414896,100,10,0,1000
100_100_1e-05_7_const_2_pop_t_div_1.0.txt,0.001968652576033,0.002908945646281,0.002438799111157,0.323241883687281,0.192777885219405,100,100,1E-05,1000000
10_10_0.001_9_const_2_pop_t_div_0.75.txt,0.001877366746397,0.002774272875208,0.002325819810803,0.323294127562555,0.192815050556594,10,10,0.001,1000000
1000_100_0.001_9_stat_2_pop_beta_0.325.txt,0.068497471099621,0.101244390823502,0.084870930961562,0.323444286221918,0.192921883575848,1000,100,0.001,1000
100_100_0.001_4_const_2_pop_t_div_1.0.txt,0.002104096998347,0.003110569087603,0.002607333042975,0.323565257967493,0.193007964971646,100,100,0.001,1000000
100_1000_0.0001_6_const_2_pop_t_div_1.0.txt,0.001825883857025,0.002700193133884,0.002263038495455,0.32379508928003,0.193171543174228,100,1000,0.0001,1000000
100_1000_0.0001_1_stat_2_pop_beta_0.325.txt,0.069130110856596,0.102241893308359,0.085686002082477,0.323857289613164,0.193215820828538,100,1000,0.0001,1000
